Clause,Clause Type
"['No Participant will engage in any business, venture or transaction, whether directly or indirectly, that might be competitive with the business of the Joint Venture or that would be in direct conflict of<omitted>interest to the Joint Venture without the unanimous written consent of the remaining Participants.']",Non-Compete
"[""During the Term, CNET will not enter into more than      two other agreements under which CNET receives consideration from a      Competing Computer Products Retailer for displaying permanent links to or      other fixed promotions for such Competing Computer Products Retailer on any      CNET Site; provided that the foregoing will not restrict the display of(a)      standard advertisements for any Competing Computer Products Retailer or its      products or (b) any promotions within COMPUTERS.COM or within CNET's Snap!      Online service (which are expressly excluded from this provision).""]",Non-Compete
"['Except as expressly contemplated by this Agreement (including Article XIII hereof) and subject to Section 13.1 hereof, King shall not promote, market or distribute any product containing metformin hydrochloride as the sole active ingredient in the Territory during the Term of this Agreement, other than the Product.']",Non-Compete
"['In consideration for such training, trade secrets and confidential information, you and your principals agree that during the term of this Agreement, and for a continuous uninterrupted period commencing upon expiration or termination of this Agreement, regardless of the cause for termination, and continuing for a period of three (3) years thereafter, neither you nor your principals shall, directly or indirectly, for themselves, or through, on behalf of, or in conjunction with any person, persons, partnership, limited liability company or corporation:<omitted>7.1.3 Own, maintain, operate, engage in, or have any interest in any business which is the same as or similar to the Franchised Business, or any other business which performs any type of child tutoring services, anywhere.']",Non-Compete
"['Western Copper covenants and agrees with Glamis that, for a period of 2 years after the Effective Date, it will not, directly or indirectly, either individually or in partnership or  jointly or in conjunction with any Person, which will include being a principal, agent,  shareholder, or advisor of such Person or in any other manner whatsoever,\n\n(a) carry on or be engaged in Mining Activities, or<omitted>(b) advise, lend money to, guarantee the debts or obligations of or permit its name to  be used by any Person who carries on or is engaged in Mining Activities,\n\nin the Area of Non-Competition.']",Non-Compete
"['Party B and its Affiliates guarantee that following the Effective Date of this Contract, it will not further transfer to any Third Party: i) the proprietary technology for production of Powder (as defined below) to be made into Batteries (as defined below) or ii) the proprietary technology for production of Batteries that use the Bellcore configuration.']",Non-Compete
"['Gulf Oil and Gulf India each agree during the Non-Compete Period not to acquire, directly or indirectly, control of any businesses involved in, or otherwise competing with, the business of the Combined Business from any entity on Schedule 1 hereto.', 'Each Seller agrees that for a period commencing on the Effective Date and ending two years after the Closing Date (the ""Non- Compete Period""), it shall not, other than solely through its direct or indirect ownership of Buyer\'s capital stock or any other interests in Buyer, directly, or indirectly, including through or on behalf of a subsidiary, anywhere in the world, excluding India: (i) own, manage, operate or control any business which competes with any Combined Business or (ii) be or become a shareholder, partner, member or owner of any Person who is engaged in any Combined Business;']",Non-Compete
['Moelis Holdings agrees not to open an office in Japan conducting Covered Businesses during the term of this Agreement.'],Non-Compete
"[""DIALOG will have the right to terminate this Agreement immediately upon the issuance of written notice to ENERGOUS (A) if ENERGOUS undergoes a Change of Control involving a competitor of DIALOG, or (B) if ENERGOUS acquires, whether directly through a sale of assets or through a Change of Control transaction, any competitor of DIALOG (as reasonably determined by DIALOG). ENERGOUS will provide DIALOG with notice of any such Change of Control or acquisition within [***] after the closing thereof and DIALOG's right to terminate the Agreement will expire [***] after receipt of such notice."", 'ENERGOUS will have the right to terminate this Agreement, upon not less than [***] prior written notice to DIALOG, in the event that, following termination by the [***] of its agreement with ENERGOUS, DIALOG participates in or indicates its intention to participate in the development, design or manufacture of products incorporating Uncoupled Power Transfer Technology not provided by ENERGOUS to [***].', ""Until expiration or earlier termination of the Agreement, DIALOG agrees that it and its Affiliates will not, without ENERGOUS' written approval, intentionally sell, distribute or work with any third party to develop products incorporating any Uncoupled Power Transfer Technology other than Licensed Products; provided, however, that DIALOG shall not be under any such restrictions in relation to services or products it provides to the Key Customer in the event the Key Customer terminates its agreement with ENERGOUS.""]",Non-Compete
"['MINDA/MIL, since it will have access to the Technical Know-How which it would not have had otherwise, expressly agree that:\n\n\n\n(a)   during the term of the Agreement, and thereafter for a period of five (5) years after the termination of the Agreement (such termination being termination by IMPCO due to default by MINDA/MIL), MIL/MINDA shall not, directly or indirectly, either alone or collectively or through any of its associates, affiliates, including subsidiaries or any entity owned or controlled by it enter into another joint venture agreement or marketing/distribution agreement with any company or persons in respect   15\n\n\n\n\n\n  of the marketing and sale of goods similar to the Products in the Territory. by using the Technical Know-How']",Non-Compete
"['In return for the exclusive appointment of Agency by MICOA to                   sell its professional liability products listed on the<omitted>attached Commission Schedule\n\n                  in Nevada, Agency agrees not to sell any competing                   professional liability products in Nevada, without the written                   consent of MICOA.']",Non-Compete
['Any such agreement\n\n\n\n\n\n\n\n\n\n  reached between Zanotti and Aura regarding such worldwide sales and marketing shall prohibit competition among Zanotti and Aura with regard  to AETRU Systems and shall be memorized in a separate agreement between the Parties.'],Non-Compete
"['During the period beginning on the Effective Date and ending on the later of (i) the end of the Initial Term and (ii) the date falling two  years after completion of the most recent services provided by Rubicon under clause 7 (the ""Non-Competition Period"")  and in the Rubicon  Geographic Area, as defined below, ISA agrees not to in any capacity, engage or have a financial interest in any Rubicon Competing Business, as  defined below, or provide managerial, supervisory, administrative, or financial services relating to any Rubicon Competing Business, including  making available any information or funding to any such Rubicon Competing Business.', 'During the period beginning on the Effective Date and ending on the later of (i) the end of the Initial Term and (ii) the date falling two  years after completion of the most recent services provided by Rubicon under clause 7 (the ""Non-Competition Period"") and in the ISA Geographic  Area, as defined below, Rubicon agrees not to in any capacity, engage or have a financial interest in any ISA Competing Business, as defined  below, or provide managerial, supervisory, administrative, or financial services relating to any ISA Competing Business, including making available  any information or funding to any such ISA Competing Business.']",Non-Compete
['MKOS will not seek to acquire any technologies presented to MKOS by UTEK from the technology developer directly or indirectly for a period of 24 months following the termination of this Strategic Alliance Agreement.'],Non-Compete
"['Should AVDU decide not to proceed in the acquisition of the technology/company as described above, then AVDU shall be prohibited from acquiring the technology/company either directly or indirectly, from the technology/company developer for a period of 24 months following the termination of this Strategic Alliance Agreement.', 'AVDU will not seek to acquire any technologies presented to AVDU by UTK directly from the technology developer for a period of 24 months following the termination of this Strategic Alliance agreement.']",Non-Compete
['Agent may not offer or promote competitive products without the consent of Kallo.'],Non-Compete
"['W2E agrees not to engage in business dealings, discussions, or otherwise work directly with any third parties introduced to W2E  through SHBV, or to exploit any pre-existing relationship of SHBV with any third party that has been represented to W2E by SHBV,  without the prior consent and/or direct participation of SHBV.', 'SHBV agrees not to engage in business dealings, discussions, or otherwise work directly with any third parties introduced to SHBV  through W2E, or to exploit any pre-existing relationship of W2E with any third party that has been represented to SHBV by W2E,  without the prior consent and/or direct participation of W2E.']",Non-Compete
"['During the term of this Agreement, except in the performance of its obligations or exercise of its rights under this Agreement, neither OntoChem nor any of its Affiliates will discover, research, develop, manufacture or commercialize any compound or product directed to any Target, either independently or for or in collaboration with a third party (including the grant of a license to any third party), or have any of the foregoing activities performed on behalf of OntoChem or any of its Affiliates by a third party.']",Non-Compete
"['During the cooperation between the parties, Party A agrees not to enter into any form of cooperation with Qihoo 360, unless PartyA needs such cooperation with Qihoo 360 for business or technology and Party B has provided its prior consent.', 'All act which may damage the right of user of Baidu promotion, damage user experience, disturb market cooperation order of the Union, adversely affect Baidu product and business reputation of Baidu, constitute unfair competition against Baidu or violate legal right of Baidu are forbidden by the Union, including but not limited to:<omitted>6. Mix of competing business\n\nAmend the pattern of the Union product or competing business to mislead users.']",Non-Compete
"['Party A may not make any identical or similar cooperation regarding the real estate and home furnishing information, products and data in its real estate and home furnishing channel with any competitor of Party B.']",Non-Compete
"[""During the Interim Period, neither HERC nor any of its affiliates or subsidiaries shall, directly or indirectly, engage in the business of renting or leasing cars, crossovers or light trucks (including sport utility vehicles and light commercial vehicles) in [any country in which THC or any of its affiliates or subsidiaries rents or leases cars, crossovers or light trucks (including sport utility vehicles and light commercial vehicles) as of the date of this Agreement] without THC's prior written consent, except to the extent materially consistent in type and scope with HERC's operations immediately prior to the date of this IPA.""]",Non-Compete
"[""Distributor will give Airspan thirty (30) days' prior, written notice of each new potential representation role being considered by Distributor, and Distributor will not undertake such representation without Airspan's prior, written consent, such consent not to be unreasonably withheld."", ""Except as\n\n\n\n\n\nprovided above, in no event will Airspan consent to Distributor's consultation for or representation of a manufacturer or supplier, which is directly or indirectly, a competitor of Airspan."", 'During the performance of this Agreement and for three (3) months after termination of services under this Agreement, Airspan will not offer products or services to third parties which compete with the products or services provided by Distributor under this Agreement, or otherwise use the knowledge acquired from Distributor in order to compete with Distributor its customers', ""During the term of this Agreement Distributor agrees that neither it      nor any organization or entity controlled or directed by it will, without      Airspan's prior, written consent, represent a manufacturer or supplier of      products similar in design or performance to or which are of such a nature      as to be competitive with any products contained in the Airspan Products."", ""During the term of this Agreement, and for a period of three (3) months following the expiration or termination of this Agreement, Distributor agrees that neither it nor any organization or entity controlled or directed by it will, without Airspan's prior, written consent, represent a manufacturer or supplier of products similar in design or performance to or which are of such a nature as to be competitive with any products contained in the Airspan Products, nor will Distributor market or otherwise promote the sale of such products.""]",Non-Compete
"[""Distributor agrees not to represent or sell other products which are deemed to be competitive with the Company's Products unless agreed to by the Company by written notice.""]",Non-Compete
"['In exchange for the marketing and selling of the Products provided in Section 3, Vendor hereby agrees:<omitted>4.4. Subject to Section 4.5 of this Agreement, for a period of twenty-four (24) months after the Effective Date, not to develop, manufacture, market, distribute, sell or supply anywhere in the world to any individual or entity a gaming chip-sorting machine for use in a casino; and']",Non-Compete
"[""Distributor will not carry any competitive products without Tripath's consent, which shall not be unreasonable.""]",Non-Compete
"['During the term of this Agreement and for a period of two (2) years after the termination hereof for any reason, Distributor will not market, or attempt to market, a computer program which competes in any way with the Products in the areas of consolidation, financial information, financial transaction processing, reporting, data collection, or modeling, including but not limited to the use of personal computers, nor which competes with any modification, alteration or enhancement to the Products which is developed during the term of this Agreement.']",Non-Compete
"['The Distributors will not develop, manufacture or sell any equipment or service, which in any way can be considered to be competitive to the  equipment or service offered by Lucid to the Distributor as Product.']",Non-Compete
"[""When endorsing a non-competitive product, under no circumstances shall CONSULTANT wear, play, use, hold or in any way be associated with an ADAMS GOLF competitor's Product.""]",Non-Compete
"['In addition, in the event that Array terminates this Agreement for Ono\'s breach pursuant to Section 13.3 during the [ * ], or Ono exercises its right to terminate this Agreement ""at will"" pursuant to Section 13.2 during the Initial Royalty Term, then neither Ono nor its Affiliates shall Commercialize a Competing Product or grant the right to a licensee or distributor to Commercialize a Competing Product in the Ono Territory prior to the [ * ] anniversary of the date such termination takes effect. If during the [ * ], Array Commercializes a Competing Product in the Ono Territory, the royalty payment period shall terminate and Ono may continue to Commercialize the Product.', ""Neither Party shall conduct Clinical Studies in the other Party's Territory without the prior written approval of the other Party, except that Array shall be entitled to conduct Declined Clinical Studies utilizing sites within the Ono Territory without obtaining Ono's consent (but prior notification is required), subject to the following:<omitted>Array shall not conduct Clinical Studies for a Product in the Ono Territory with respect to an Indication for which such Product has received Marketing Approval in the Ono Territory if Ono reasonably believes that the conduct of such Clinical Studies is likely to materially adversely affect the commercial value of such Product."", 'If Ono Commercializes a Competing Product in the Ono Territory during [ * ], Array may immediately terminate this Agreement.']",Non-Compete
"['You covenant and agree that during the term of this Agreement, and subject to the post-termination provisions contained herein, You shall not, except as otherwise approved in writing by AIRSOPURE, either directly or indirectly:\n\nA. Divert or attempt to divert any business or customer of the Franchise to any competitor, or competing business, by direct or indirect inducement or otherwise, or do or perform, directly or indirectly, any other act injurious or prejudicial to AIRSOPURE or the goodwill associated with the Licensed Marks and Products.<omitted>C. Own, maintain, engage in, be employed by, advise, consult, assist, invest in or have any interest whatsoever in any business or entity which competes with or offers products or services which are the same or similar to those of AIRSOPURE or the Franchise.', 'You covenant and agree that You (or any shareholder if Your Franchise is a corporation) shall not, for a period of two years following termination of this Agreement for any reason, either directly or indirectly own, maintain, engage in, be employed by, advise, consult, assist, invest in or have any interest whatsoever in any business or entity which competes with or offers products or services which are the same or similar to those of AIRSOPURE or the Franchise within a radius of 25 miles of Your Exclusive Territory.']",Non-Compete
"['You must:<omitted>5.1.15 not become a Competitor, or permit your Affiliate to become a Competitor, in the upscale hotel market segment, or any substantially equivalent market segment, as determined by Smith Travel Research (""STR"") (or, if STR is no longer in existence, STR\'s successor or other such industry resource that is as equally as reputable as STR);', 'We may immediately terminate this Agreement on notice to you and without any opportunity to cure the default if:<omitted>14.2.10 you, your Affiliate or a Guarantor become a Competitor except as otherwise permitted by Subsection 5.1.15;']",Non-Compete
"['The  Franchisee  agrees,  during  the  term  of this Agreement and thereafter,  not to directly or indirectly engage in the operation of any  restaurant,  except as licensed by BKC, which utilizes or duplicates the Burger King System or any part thereof.', 'Neither the  Principals  nor the  Franchisee  shall directly or indirectly  (through  stock  ownership,  partnership,  trust,  joint venture,  management  contract,  or otherwise)  (a) have any interest in another ""Fast Food Hamburger Restaurant"" during the term of this Agreement, or (b) for a period of one ye ar after termination or expiration of this Agreement,  have any interest in another Fast Food  Hamburger  Restaurant  business at or within such distance of the Location as is stated  SCHEDULE 1.']",Non-Compete
"['Accordingly, you covenant and agree that, during the term of this Agreement and for a continuous period of two (2) years after the expiration or termination of this Agreement, and/or a transfer as contemplated in Section 16 above, you will not directly, indirectly, for yourself, or through, on behalf of, or in conjunction with any party, in any manner whatsoever, do any of the following:<omitted>19.3.1 Divert or attempt to divert any actual or potential business or customer of any Goosehead Business to any competitor or otherwise take any action injurious or prejudicial to the goodwill associated with the Marks and the System.<omitted>19.3.3 Own, maintain, develop, operate, engage in, franchise or license, make loans to, lease real or personal property to, be associated with, accept any compensation or remuneration from, and/or have any whatsoever interest in, or render services or give advice to, any Competitive Business.', 'Member covenants and agrees that during the term of the Franchise Agreement, except as otherwise approved in writing by Franchisor, Member will not, either directly or indirectly, for itself, or through, on behalf of, or in conjunction with any person, persons, partnership, corporation, or entity:<omitted>(iii) Either directly or indirectly for him/herself or on behalf of, or in conjunction with any person, persons, partnership, corporation, or entity, own, maintain, operate, engage in, be employed by or accept any compensation or remuneration from, or have any interest in any Competitive Business.', 'Member covenants and agrees that during the Post-Term Period (defined below), except as otherwise approved in writing by Franchisor, Member will not, either directly or indirectly, for itself, or through, on behalf of, or in conjunction with any person, persons, partnership, corporation, or entity, Member will not own, maintain, operate, engage in, be associated with or accept any compensation or remuneration from, or have any interest in or render services or give<omitted>advice to any Competitive Business and which business is, or is intended to be, located within the city or county in which the Approved Location is situated.', 'You further covenant and agree that, for a continuous period of two (2) years after (1) the expiration of this Agreement, (2) the non-renewal of this Agreement, (3) the termination of this Agreement, and/or (4) a transfer as contemplated in Section 16 above: 19.5.1 you will not directly or indirectly, for yourself, or through, on behalf of, or in conjunction with any person, firm, partnership, corporation, or other entity, sell, assign, lease, and/or transfer the Approved Location to any person, firm, partnership, corporation, or other entity that you know, or have reason to know, intends to operate a Competitive Business at the Approved Location; and 19.5.2 you will not solicit, divert, or attempt to solicit or divert any actual or potential business or customer of the Franchised Business to any Competitive Business.', ""Member covenants and agrees that during the term of the Franchise Agreement, except as otherwise approved in writing by Franchisor, Member will not, either directly or indirectly, for itself, or through, on behalf of, or in conjunction with any person, persons, partnership, corporation, or entity:<omitted>(i) Solicit, divert or attempt to solicit or divert any business or customer of the Franchised Business or of any Franchised Business using the System to a Competitive Business, by direct or indirect inducement or otherwise, or do or perform, directly or indirectly, any other act injurious or prejudicial to the goodwill associated with Franchisor's Proprietary Marks and the System."", 'The Franchise Agreement contains a covenant not to compete which extends beyond the termination of the franchise.']",Non-Compete
"['you and your Principal Owners must enter into a non-competition agreement wherein you agree not to engage in a competitive business for a period of two (2) years after the Transfer and within twenty-five (25) miles of your Franchise Premises or any other The Joint Corp. Location franchise location;', 'Therefore, during the term of this Agreement, neither you, nor any Principal Owner, nor any member of your immediate family or of the immediate family of any Principal Owner, shall perform services for, or have any direct or indirect interest as a disclosed or beneficial owner, investor, partner, director, officer, employee, manager, consultant, representative, or agent in, any business that offers products or services the same as or similar to those offered or sold at The Joint Corp. Location franchises.', 'Upon expiration or termination of this Agreement for any reason, you agree not to engage in a competitive business for a period of two (2) years after the termination or expiration and within twenty-five (25) miles of your Franchise Premises or any other The Joint Corp. Location franchise location.']",Non-Compete
"[""During the term of this Agreement and for a period of two years after the expiration date of this Agreement, HDI shall not participate in any project similar to the Site on the Internet from which products substantially similar to Deerskin Products (including, without limitation, the products of Wilson's House of Leather, Excelled and and companies similar to Wilson's House of Leather and Excelled) are offered for sale to consumers on the Internet."", ""Except as provided in Section 6.2, during the term of this Agreement, the Company shall not participate in any project similar to the Site on the Internet with respect to Deerskin Products or products substantially similar to Deerskin Products (including, without limitation, the products of Wilson's House of Leather, Excelled and companies similar to Wilson's House of Leather and Excelled)""]",Non-Compete
"[""The Destination shall not contain any links to           any third party sites for the purchase of Competitor's Goods; provided           that the Destination will link to the Co-Host Site (which will sell           Competitor's Goods).""]",Non-Compete
"[""During the term of this Agreement, Corio agrees not          to provide the Software in connection with Corio Services or distribute          the Software under Section 2.5 of this Agreement to the following          companies or their subsidiaries: ***. Corio and Changepoint agree that          on an semi-annual basis, this list of companies will be reviewed by          the parties and each party agrees that its consent to the other          party's request for changes to this list (additions and deletions)          will not be unreasonably withheld or delayed.""]",Non-Compete
"['TELKOM shall not copy the source code, nor disclose it to any third party except   agents retained by TELKOM to assist in maintaining the SOFTWARE, provided   that no such agent is in the business of marketing or developing SOFTWARE   competitive with the SOFTWARE.']",Non-Compete
"['The Agent covenants and agrees that during the Noncompetition Period, the Agent will not, nor will it permit any Affiliate to, directly or indirectly, own, manage, operate or control, or participate in the ownership, management, operation or control of, or be connected with or have any interest in, as a shareholder, partner, creditor or otherwise, any Competitive Business; provided, however, this Section 6.13(c) shall not apply to those actions of the Agent or any Affiliate (i) to the extent such actions are expressly contemplated by this Agreement, for such term of this Agreement; (ii) to the extent such actions relate to the products listed on Exhibit D hereto in the countries listed therein, the products that the Agent either owns, has contracted to purchase or entered into a letter of intent with respect to as of the Effective Date and such additional products as the parties may from time to time agree (the ""Permitted Products""); (iii) to the extent that the Agent\'s interest in a Competitive Business, as a shareholder, partner, creditor or otherwise, is equal to or less than 5%; or (iv) to any separate agreement with Monsanto with respect to transgenic technology sharing.', 'Except as provided for in Section 3.8, Monsanto covenants and agrees that for the Noncompetition Period, Monsanto will not, nor will it permit any Affiliate to, directly or indirectly, own, manage, operate or control, or participate in the ownership, management, operation or control of, or be connected with or have any interest in, as a shareholder, partner, creditor or otherwise, any ""Competitive Business.""', ""A Competitive Business shall be any business which, anywhere within the Included Markets, (x) manufactures, sells, markets or<omitted>distributes any non-selective weed control product, whether residual or non-residual, for Lawn and Garden Use or (y) competes with the Roundup L&G Business; provided, however, this Section 6.13(b) shall not apply to those actions of Monsanto or any Affiliate (i) to the extent such actions are expressly contemplated by this Agreement, for the duration of this Agreement, (ii) to the extent that immediately upon termination of this Agreement for whatever reason Monsanto or any Affiliates or successor to the Roundup L&G Business shall continue to operate the Roundup L&G Business without infringing this covenant, or (iii) to the extent that Monsanto's interest in a Competitive Business, as a shareholder, partner, creditor or otherwise, is equal to or less than 5%."", ""In the event of a termination of this Agreement by Monsanto pursuant to Section 10.4(a)(2) hereof, or by the Agent pursuant to Section 10.6(c)(1) hereof, then notwithstanding the provisions of Section 6.13 hereof, either party may, no earlier than three (3) years prior to the expiration of the Noncompetition Period, commence non- commercial activities (including formulation development, regulatory registrations, packaging and delivery systems development, and advertising and promotional material development and any other activities not prohibited by Section 6.13 of this Agreement during the Noncompetition Period, but excluding consumer-facing efforts or communications) for the sole purpose of such party's preparation to launch any competing product upon expiration of the Noncompetition Period; and provided, that either party may, no earlier than twelve (12) months prior to the expiration of the Noncompetition Period, engage with retail customers for the sole purpose of selling-in competing products (provided that no product may be shipped to a retail customer or distributor prior to the end of the Noncompetition Period).""]",Non-Compete
"['During the Term, PPI and its Affiliates shall not: (i) file for Marketing Authorization with respect to any Competing Product in  any country in the Territory, (ii) manufacture or have manufactured any Competing Product in any country in the Territory, (iii) market or  have marketed any Competing Product in any country in the Territory or (iv) license any Third Party to do any of the foregoing.', 'EKR shall not, during [**], market, distribute or sell a Competing Product in the Territory unless during such time an A/B  rated generic product of the Product(s) is launched in such country of the Territory or in the event this Agreement is terminated or EKR  exercises its rights under Section 17.4 hereof.']",Non-Compete
"['Surgical shall not promote, market or sell any products for any third party during the Term, which directly or indirectly compete with the Product.', 'During the Term of this Agreement, Surgical will not to enter into any other agreement or arrangement that will directly or indirectly compete with the Services to be rendered hereunder, as such agreement shall be considered a breach of this Agreement.']",Non-Compete
"['For the purposes of this Agreement, ""Competitors"" means                   online supermarkets, which offer selections of consumer                   packaged goods and groceries comparable to NetGrocer or                   off-Web supermarkets, as listed in Exhibit A. The parties may                   amend Exhibit A from time to time and Excite will not                   unreasonably withhold its consent to the inclusion of bona                   fide Competitors submitted by NetGrocer.', 'EXHIBIT A\n\n                         LIST OF NETGROCER COMPETITORS\n\nPeapod\n\nShoppers Express/Oncart', 'For the term of the Agreement, Excite will not enter into any                   agreement to display and shall not display on the Excite Site                   content created by Excite promoting NetGrocer\'s                   ""Competitors"", content created by NetGrocer\'s Competitors,                   promotional placements and/or advertising banners from                   NetGrocer\'s Competitors or make available on the Excite Site                   online supermarket sales offered by NetGrocer\'s Competitors']",Non-Compete
"['Reseller shall not import, promote,\n\n\n\n\n\n          distribute, license, market or sell any products in<omitted>the Territory which directly compete with the TouchStar Software or           Support Services.']",Non-Compete
['Publishers may not use either Proprietary Software or             Source Code held in escrow to develop a product that competes with             those services offered by HealthGate.'],Non-Compete
"['This restriction shall apply to any succinic acid biocatalyst other than E. coli,  be it a biocatalyst developed in-house, licensed-in, or under development at a third party lab that is funded by Bioamber or to which  Bioamber has secured a future right or right of first refusal through direct payment, in kind contribution, grant, gift, differed payment or  commitment to a future payment.', 'Bioamber will not itself or with or through third parties engage in the development of biocatalysts  other than E. coli for the production of succinic acid or salts thereof, except for the development activities under the terms and conditions  of this Development Agreement.']",Non-Compete
"[""Each of Licensor and Licensee understands and acknowledges that Licensor shall be entitled to protect and preserve the going concern value of Licensor's business to the extent permitted by law and that Licensor would not have entered into this Agreement absent the provisions of this Section 10.1 and, therefore, each of Licensor and Licensee agrees that during the term of this Agreement Licensee shall not engage in, represent in any way or be connected with directly or indirectly any business competing with the Licensed Products.""]",Non-Compete
"[""To avoid any possibility of confusion of the public, trademark infringement or interference with the rights of the Company, the Professional agrees not to endorse, license or otherwise authorize the use of her name, likeness or image in connection with another company's golf clubs or golf-related clothing or equipment during the Term and for a period of two (2) years thereafter."", 'The Professional agrees (i) to use no golf bag bearing any identification of a competitor of the Company and (ii) to wear no apparel bearing any identification of a competitor of the Company, and will prohibit any caddy of hers from bearing any such identification.', 'The Professional agrees to divest herself of any management or control interest that she currently has in any entity that is a competitor of\n\n\n\n\n\nthe Company, and not to acquire any such interest during the Term.']",Non-Compete
"[""Notwithstanding any other provision of this Agreement, Rogers may terminate this Agreement, at any time, upon sixty (60) days' prior written notice to Licensor.""]",Termination For Convenience
"[""ETON has the right to terminate this Agreement after approval of the Dossier or marketing application for the Product (or added new product), at its sole discretion, upon providing one hundred eighty (180) days' written notice to Aucta.""]",Termination For Convenience
"['Accordingly, either Party may terminate this Agreement or all/part of a Project for any reason and at any time upon giving the other Party sixty (60) days prior written notice.']",Termination For Convenience
"['This Agreement may be terminated by either party for any reason or no reason, whether or not extended beyond the initial term, by giving the other party written notice ninety (90) days in advance.']",Termination For Convenience
['Company at its sole discretion may at any time alter or cease providing the Customer Service which it has agreed to provide to Client relating to Client Website pursuant to this Agreement without any liability to Company.'],Termination For Convenience
['The Agreement may be terminated by both Parties with a notification period of *** before the end of the Initial Term of the Agreement.'],Termination For Convenience
"['Regardless of the term, Licensee can terminate Agreement with at least one hundred eighty (180) days written notice with no further obligation.']",Termination For Convenience
"['Customer may terminate this Agreement, or any portion of Services specified herein, for convenience by: providing at least sixty (60) days prior written notice to IBM; and paying the applicable early termination charges specified in Attachment C.']",Termination For Convenience
"['This Agreement may be terminated by Nuance at any time, in its sole discretion, prior to the Distribution; provided, however, that this Agreement shall automatically terminate upon the termination of the Separation Agreement in accordance with its terms.']",Termination For Convenience
"['This Agreement may be terminated by Honeywell at any time, in its sole discretion, prior to the Distribution; provided, however, that this Agreement shall automatically terminate upon the termination of the Separation Agreement in accordance with its terms.']",Termination For Convenience
"['Either Party may terminate the Project and all commitments and obligations with respect thereto, subject to Section 8.3 herein, upon thirty (30) days written notice to the other Party.', 'This Agreement may be terminated by ArTara upon thirty (30) days prior written notice to University.']",Termination For Convenience
"[""Vyera shall have the right to terminate this Agreement in its entirety:<omitted>(c) at any time following the second (2nd) anniversary of the First Commercial Sale of the Licensed Product, for any reason or no reason, upon one hundred eighty (180) days' written notice to CytoDyn.""]",Termination For Convenience
"['Company may terminate this Agreement and the license granted herein, for any reason, upon giving JHU sixty (60) days written notice under Paragraph 8.1.']",Termination For Convenience
"['Notwithstanding anything to the contrary stated in this Agreement, either party may terminate this Agreement at any time without cause by giving to the other party, not less than four (4) months written notice.']",Termination For Convenience
['The term of this Agreement shall commence on the Effective Date and shall end on the 60th day following a written notice from one party to the other of its decision to terminate this Agreement at the end of such 60-day period or upon termination of the applicable Distribution Agreement with respect to a Fund.'],Termination For Convenience
"['The Agreement rests, for all that, cancellable at any time by any of the parties before the expiry date of the Agreement or any of itsrenewals, upon three months prior written notice.']",Termination For Convenience
"['Customer shall have the right to terminate any Scope of Work and corresponding Purchase Order for Services at any time on reasonable advance written notice to Supplier (without terminating this Agreement), in which case Customer shall be responsible for:\n\n[* * *]']",Termination For Convenience
"['After the date that is eighteen (18) months after the Effective Date, either Party may terminate this Agreement upon six (6) months prior written notice to the other Party.']",Termination For Convenience
['Either Party shall have the right to terminate this Agreement before the end of the Term for its convenience upon [***] written notice to the other Party (and any such termination shall become effective at the end of such [***]); [***].'],Termination For Convenience
"[""Notwithstanding any other provision of this Agreement, MMT may at any time terminate this Agreement on country-by-country basis, or in its entirety, upon [***] months' prior written notice to SIGA.""]",Termination For Convenience
['Either Party may terminate this agreement for non-cause with a sixty (60) written notice.'],Termination For Convenience
"['Following the Initial Term, either Party may terminate this Agreement without cause upon written notice to the other Party of at least 3 months.']",Termination For Convenience
"['In addition, CHT may terminate this Agreement and the rights granted hereunder, in whole or in part, and without prejudice to enforcement of any other legal right or remedy (including any express termination right set forth elsewhere in this Agreement), at any time without cause, by providing at least thirty (30) Business Days prior written notice to Ehave, but subject to payment of a termination fee equal to an amount set out in Schedule 6.']",Termination For Convenience
"[""Except as agreed by the Parties in writing or as otherwise stated in the Exhibits, Company may terminate for convenience any Transition Service, and RGHI may terminate for convenience any Reverse Transition Service, upon 30 days' prior written notice of such termination; provided, (a) that, with respect to the Services described in Section G1 of Exhibit A, unless otherwise indicated therein, those Services may not be terminated independently except in accordance with an agreed Migration Plan and, (b) any unamortized costs associated with Provider's purchase of any license or other costs incurred specifically for the purpose of providing the Services hereunder will be passed through to the Terminating Party.""]",Termination For Convenience
['Each Party may also terminate the Agreement for convenience after Contract Year 2<omitted>by providing written notice to the other Party at least sixty (60) calendar days prior to the effective date of such termination'],Termination For Convenience
"[""Either Party may terminate this Agreement by giving the other Party thirty (30) days' prior written notice.""]",Termination For Convenience
"['Licensor reserves the right to terminate this Agreement immediately upon written notice for any reason, including if the usage of the Brand is not in compliance with the standards and policies.']",Termination For Convenience
"[""This Agreement shall be terminable (a) by the Licensor<omitted>(ii) upon sixty (60) days' written notice by the Licensor to the Licensee or (b) by the Licensee<omitted>(ii) upon sixty (60) days' written notice by the Licensee to the Licensor.""]",Termination For Convenience
"[""This Agreement shall be terminable<omitted>by Licensor or Licensee upon sixty (60) days' written notice to the other party;""]",Termination For Convenience
"['eBix may terminate this Agreement, [**] upon [**] to About; provided,       however, that the termination is no earlier than [**] of the Effective       Date of this Agreement.']",Termination For Convenience
